date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:24:40	7343/7343	---M-Z	200	added ('OK')	application/rss+xml	date:Fri,%2003%20Mar%202023%2003:24:40%20GMT	https://sphinx.org.au/the-ark/for-programmers/web-services?format=feed&type=rss	/home/adrianb/websites/The%20Ark/sphinx.org.au/the-ark/for-programmers/web-servicesc0d0	(from https://sphinx.org.au/the-ark/for-programmers/web-services)
14:24:41	15896/15896	---MC-	200	added ('OK')	application/atom+xml	date:Fri,%2003%20Mar%202023%2003:24:41%20GMT	https://sphinx.org.au/the-ark/for-programmers/web-services?format=feed&type=atom	/home/adrianb/websites/The%20Ark/sphinx.org.au/the-ark/for-programmers/web-services7b17	(from https://sphinx.org.au/the-ark/for-programmers/web-services)
14:24:42	7627/7627	---M-Z	200	added ('OK')	text/html	date:Fri,%2003%20Mar%202023%2003:24:42%20GMT	https://sphinx.org.au/the-ark/for-programmers/web-services/5-web-services	/home/adrianb/websites/The%20Ark/sphinx.org.au/the-ark/for-programmers/web-services/5-web-services.html	(from https://sphinx.org.au/the-ark/for-programmers/web-services)
14:24:43	8668/8668	---M-Z	200	added ('OK')	text/html	date:Fri,%2003%20Mar%202023%2003:24:43%20GMT	https://sphinx.org.au/the-ark/for-programmers/web-services/1-demonstration-client	/home/adrianb/websites/The%20Ark/sphinx.org.au/the-ark/for-programmers/web-services/1-demonstration-client.html	(from https://sphinx.org.au/the-ark/for-programmers/web-services)
14:24:44	9470117/9470117	---M--	200	added ('OK')	application/pdf	etag:%229080a5-52e84525de800%22	https://sphinx.org.au/images/docs/The%20Ark%20Documentation%20-%20Work%20Tracking%20-%20Billable%20Item.pdf	/home/adrianb/websites/The%20Ark/sphinx.org.au/images/docs/The%20Ark%20Documentation%20-%20Work%20Tracking%20-%20Billable%20Item.pdf	(from https://sphinx.org.au/the-ark/documentation)
14:24:44	94512/94512	---M-Z	200	added ('OK')	text/html	date:Fri,%2003%20Mar%202023%2003:24:44%20GMT	https://sphinx.org.au/the-ark/for-programmers/web-services/4-service-call-specifications	/home/adrianb/websites/The%20Ark/sphinx.org.au/the-ark/for-programmers/web-services/4-service-call-specifications.html	(from https://sphinx.org.au/the-ark/for-programmers/web-services)
14:24:46	306355/306355	---M--	200	added ('OK')	image/png	etag:%224acb3-55dd6e61673bf%22	https://sphinx.org.au/images/ark/ark-web-services.png	/home/adrianb/websites/The%20Ark/sphinx.org.au/images/ark/ark-web-services.png	(from https://sphinx.org.au/the-ark/for-programmers/web-services)
14:24:47	394/394	UR-MC-	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Fri,%2003%20Mar%202023%2003:24:46%20GMT	https://sphinx.org.au/images/ark/Study-details.png	/home/adrianb/websites/The%20Ark/sphinx.org.au/images/ark/Study-details.png	(from https://sphinx.org.au/the-ark)
14:24:47	394/394	UR-MC-	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Fri,%2003%20Mar%202023%2003:24:47%20GMT	https://sphinx.org.au/images/phocagallery/screenshots/thumbs/phoca_thumb_l_the-ark-extraction-filters.png	/home/adrianb/websites/The%20Ark/sphinx.org.au/images/phocagallery/screenshots/thumbs/phoca_thumb_l_the-ark-extraction-filters.png	(from https://sphinx.org.au/the-ark/overview)
14:24:48	25208/25208	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%226278-5e62cb1978500%22	https://sphinx.org.au/media/jui/fonts/IcoMoon.eot	/home/adrianb/websites/The%20Ark/sphinx.org.au/media/jui/fonts/IcoMoon.eot	(from https://sphinx.org.au/templates/protostar/css/template.css?79454ffff00e04053220fdb82f03fe7b)
14:24:49	236825/236825	UR-MCZ	200	added ('OK')	application/javascript	etag:%2239d19-5e62cb1978500-gzip%22	https://sphinx.org.au/media/system/js/mootools-more.js?79454ffff00e04053220fdb82f03fe7b	/home/adrianb/websites/The%20Ark/sphinx.org.au/media/system/js/mootools-more8374.js	(from https://sphinx.org.au/the-ark/overview)
14:24:49	394/394	UR-MC-	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Fri,%2003%20Mar%202023%2003:24:49%20GMT	https://sphinx.org.au/images/phocagallery/screenshots/thumbs/phoca_thumb_l_the-ark-extraction-list.png	/home/adrianb/websites/The%20Ark/sphinx.org.au/images/phocagallery/screenshots/thumbs/phoca_thumb_l_the-ark-extraction-list.png	(from https://sphinx.org.au/the-ark/overview)
